pool,maps,expected_two_unit_rate,turn0_move_success_rate,turn1_move_success_rate,spawn_success_rate,swallowed_move_exception_rate,starting_warrior_on_capital_handoff_rate,capital_free_before_spawn_but_spawn_failed_rate,turn0_move_worked_turn1_failed_rate,both_moves_worked_spawn_failed_rate,unit_count_distribution,outcome_distribution
all,5517,0.5506615914446257,1.0,1.0,0.5506615914446257,0.0,0.4493384085553743,0.0,0.0,0.4493384085553743,"{""1"": 2479, ""2"": 3038}","{""EXPECTED_TWO_UNIT_OPENING"": 3038, ""ONE_UNIT_SPAWN_UNAVAILABLE"": 2479}"
train,5000,0.5502,1.0,1.0,0.5502,0.0,0.4498,0.0,0.0,0.4498,"{""1"": 2249, ""2"": 2751}","{""EXPECTED_TWO_UNIT_OPENING"": 2751, ""ONE_UNIT_SPAWN_UNAVAILABLE"": 2249}"
validation,250,0.564,1.0,1.0,0.564,0.0,0.436,0.0,0.0,0.436,"{""1"": 109, ""2"": 141}","{""EXPECTED_TWO_UNIT_OPENING"": 141, ""ONE_UNIT_SPAWN_UNAVAILABLE"": 109}"
test,250,0.552,1.0,1.0,0.552,0.0,0.448,0.0,0.0,0.448,"{""1"": 112, ""2"": 138}","{""EXPECTED_TWO_UNIT_OPENING"": 138, ""ONE_UNIT_SPAWN_UNAVAILABLE"": 112}"
human_benchmark,17,0.47058823529411764,1.0,1.0,0.47058823529411764,0.0,0.5294117647058824,0.0,0.0,0.5294117647058824,"{""1"": 9, ""2"": 8}","{""EXPECTED_TWO_UNIT_OPENING"": 8, ""ONE_UNIT_SPAWN_UNAVAILABLE"": 9}"
