pool,map_filename,canonical_map_sha256,episode_seed,opening_outcome,flags,owned_units,capital_occupied,reset_exception
train,map_003460.csv,0263ec93dbd9bae006470d5505f44a6edc052cdf7f3d8434037e46bbbcd10034,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002917.csv,02964fd32b1f428f060eaba4a9952651b6a5e1a6f3471a6ba0de6037911c0487,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005484.csv,02a14eb3774e9dac8253b0f2fc5dbb2dbadb5fa917cddbc50060066cc19e4e71,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000207.csv,02acb138b249ea49078de4b8a78e0ab93d3b52fec73684314e08e6d6be5b60d6,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002878.csv,03302314a34d9da58498e2c11456d86f8fd03323ca561edbfc2e7305b671e5d1,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003688.csv,033bdbbc01b9945e5198bc23ccc461be5178b8b9ff0ebc3a7156c244e696c618,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000995.csv,033c229d8a60d4f88a8678ba1f0f26f6aee0f1e2bf2001f1f1af95538acdb4cb,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003574.csv,034949cc29c67f3ba6a57ab36210c19043f6badc5e21de8c497fed1ce8f4904d,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001074.csv,034a1bba9f433f192770e19cefce94bf497a6a950f442971fa6c7e7d2fe60955,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002653.csv,0367c762c82436d3f8e691b310a938443b348ef79e3be243d8d423be2a141701,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004739.csv,036b81ec3833c101798b0f3ac2095b4e670301a3ea7f13468a9174f6a19274d6,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004278.csv,037fedc93303c08bfa3d8517477013f60dcf3ea968d944f7c1533998bb343598,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005288.csv,03986b8e2ac01114f06dff37956ea236a78a746068df5c900cedec3ff1f26b59,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004406.csv,03a0ce05a84019c15954791392249b018e5d1887a5a2cbe11f79024052e254ba,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004478.csv,03ddb77461e4182aab4a9e2bb17744b2094828f3ebeecd29a7680b393d7807bb,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004688.csv,03f992db39c68f1d520a40159ddb4e9df7c5816ec4421ea9cd800f44ba8b476a,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001321.csv,03fdf1c2c7035c62f2e832172706bddf03a9c4c7421d0813dd8a4bd1b9c8f422,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004696.csv,0400f263c790f57f847e8d7a81ecabf1fcb0ee4c723b8bb11dbb7891932e7f8b,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001629.csv,041831c439d935905f3340670d5b63094cb6c38df3ee9071b6044713594c206c,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003329.csv,042ea807d8810759ef5d91d4497a120fecabf9bf86ae8efd5201241943f602c1,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004094.csv,0430f5a7867134ce032cc6e65e1ea323753a693e2ec182c47df6bd615a1e6ba3,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000799.csv,049559698479b88fc2e1589dc50157e5a7b2ab5091b624f0cf48e0f700a6e230,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005192.csv,04a22d8eafe40f73c2d9d80cea4817c3e7a63599f65906ac46efc4875397f3dd,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000886.csv,04cc1e7bfcb50207440371362cbef0299d6a2b549a73f8a83fffdf27944cc01b,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001513.csv,04f81af12ca8ae7f80f1dfee6ea456f385d00f92c28f81c0aaab03b5c96833e3,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004733.csv,04fed2777104db95b3a69e796757b76d43f1fcbbc8ca03ddc4d754689ab4b392,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002198.csv,050348632993c1a93c5caedf2258d50b3913008616de492ce46c43b401c2c96f,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005432.csv,0519dddae7dec9a2a0112a6a44028206178237fab6cc82a3ee9e781a21faf7dd,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001275.csv,0535ba17e9543defaf9a3d74c7acd2bcf7d95a39093906d40170c9f887101676,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002908.csv,0572e8dc576b11e8b318c7e9a166c78dd2ccc066395821eb9ec52355875b3c14,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001437.csv,058b14fc63bf9c2bd33b47a0baf25a327739203198f6930ed89eb8c8b79a70c5,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002167.csv,05b8d1cd20fefed6ed9b0b02fa0e583be56c92c5c0e82783b2841680794e04f9,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004686.csv,05c508c64fa0e669e0f60970baa308194f82f5d5c592bae2e2a7daef53e12e41,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004077.csv,05ce7f7d57563260f0af899ccb1835ea53a8bb4ab712ec11eec797b7eb077ce4,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000829.csv,05d268d59792c5bd30a951388ac24f865938627403bc56c66f98a3e347daa2f7,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_004307.csv,05e9e8333b3271f7cc3554d62a8bf6e7455f35e4875018a087de1bff5e769145,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002689.csv,06104344b531d257c1a6211f7941b7d171cc84ef94d715a78d0b72149546952a,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001982.csv,0658cdcb6ab9b7b67ce5077f2cae10f39583a8b4af3212bf0facd535eb1b9229,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002095.csv,06908704e57a6e9c34b5284b0ad21b3387744a0f1724b0c14d9adba327dbcdad,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001722.csv,0693b5fd1d9b75145514650b7b46e92a8c116f2860dd6ce5c54d337e1fc61c84,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001086.csv,06a6d4275fd783ee957fd425be47de7c29e01b6fcb4d4e0abf1b8148e05b43d0,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003675.csv,06be36caebfb475d4dbd11b584f3702b182fce6fc2710384076e6df6b3803e0b,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002114.csv,06ec0c7f7d6037d264d95410c624458889045644de19452dddbee4c72fbd25b6,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002129.csv,07150b7e9c6dfeb75e4fdaae8f5b3b7e15f68c02d64d503cd1c0b9c4987c3ce8,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003853.csv,072a5aa4788edfd5a292a92183174394bf468876b05792759e1d6f314a213a4e,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003317.csv,074c77b7d3d00fdfd37d606a35dc366a11b485e7b45cdc1edf044f416e3097fd,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_000947.csv,07538562db5b754f6e1c1a39503cb620aaea4454344aef42237f4293592bfbf3,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_005342.csv,0762e0af0034bd44fd378eb4be76e1eae8aaed364f762adbb3b5e0b58a796c08,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_001571.csv,07a5889520b1ad3df56b82b10cd401c32d07edf013f255e9944321fa5e87d73e,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_002182.csv,07ea9ed1e5b3832adc579ec5ec3df3b1d68fc173b3221f7e406a6c0e7f696f99,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
train,map_003946.csv,07f2bc3f93d0ef977bac0b83235975443b6afbe8f0d0bd755a43383bcacc19c9,42,ONE_UNIT_SPAWN_UNAVAILABLE,ONE_UNIT_SPAWN_UNAVAILABLE,1,True,
